Source,Station,Latitude,Longitude
EMP,EMP EZ6,38.0655,-122.0537
EMP,EMP EZ6,38.063,-122.0215
EMP,EMP EZ6,38.0512,-121.9373
EMP,EMP EZ6,38.0562,-121.874
EMP,EMP EZ6,38.0628,-121.7918
EMP,EMP EZ6,38.0643,-121.7912
EMP,EMP EZ6,38.064,-121.8453
EMP,EMP EZ6,38.0597,-121.9982
EMP,EMP EZ6,38.0633,-122.0638
EMP,EMP EZ6,38.0507,-122.0927
EMP,EMP EZ6,38.0532,-122.0825
EMP,EMP EZ6,38.0557,-121.9542
EMP,EMP EZ6,38.0593,-121.9595
EMP,EMP EZ6,38.0517,-121.8813
EMP,EMP EZ6,38.0712,-121.7758
EMP,EMP EZ6,38.0657,-121.788
EMP,EMP EZ6,38.0595,-121.8027
EMP,EMP EZ6,38.0525,-121.9427
EMP,EMP EZ6,38.0505,-121.8827
EMP,EMP EZ6,38.0558,-121.9515
EMP,EMP EZ6,38.0458,-121.8995
EMP,EMP EZ6,38.061,-121.8658
EMP,EMP EZ6,38.06,-121.8645
EMP,EMP EZ6,38.0607,-121.7988
EMP,EMP EZ6,38.0598,-121.8002
EMP,EMP EZ6,38.0788,-121.7648
EMP,EMP EZ6,38.049,-121.936
EMP,EMP EZ6,38.0537,-121.9413
EMP,EMP EZ6,38.0505,-121.9367
EMP,EMP EZ6,38.0523,-121.8762
EMP,EMP EZ6,38.0473,-121.8982
EMP,EMP EZ6,38.0625,-121.7935
EMP,EMP EZ6,38.07,-121.7792
EMP,EMP EZ6,38.0648,-121.7893
EMP,EMP EZ6,38.0845,-121.7391
EMP,EMP EZ6,38.0803,-121.7612
EMP,EMP EZ6,38.0767,-121.7683
EMP,EMP EZ6,38.0597,-121.867
EMP,EMP EZ6,38.055,-121.9472
EMP,EMP EZ6,38.0593,-121.958
EMP,EMP EZ6,38.0512,-121.8783
EMP,EMP EZ6,38.0608,-121.815
EMP,EMP EZ6,38.0672,-121.785
EMP,EMP EZ6,38.0602,-121.8032
EMP,EMP EZ6,38.073,-121.7762
EMP,EMP EZ6,38.0642,-122.0233
EMP,EMP EZ6,38.0562,-121.9582
EMP,EMP EZ6,38.0622,-121.8233
EMP,EMP EZ6,38.064,-121.7913
EMP,EMP EZ6,38.0678,-121.7822
EMP,EMP EZ6,38.0643,-121.8428
EMP,EMP EZ6,38.0642,-121.8227
EMP,EMP EZ6,38.0588,-121.9707
EMP,EMP EZ6,38.0444,-122.1177
EMP,EMP EZ6,38.0652,-122.0558
EMP,EMP EZ6,38.0632,-122.0617
EMP,EMP EZ6,38.0573,-121.9768
EMP,EMP EZ6,38.0511,-121.8819
EMP,EMP EZ6,38.0533,-121.9453
EMP,EMP EZ6,38.0645,-121.791
EMP,EMP EZ6,38.0825,-121.7574
EMP,EMP EZ6,38.061,-122.0105
EMP,EMP EZ6,38.057,-121.8702
EMP,EMP EZ6,38.0625,-121.8226
EMP,EMP EZ6,38.0588,-121.9995
EMP,EMP EZ6,38.064,-121.8581
EMP,EMP EZ6,38.0458,-121.9064
EMP,EMP EZ6,38.0549,-121.875
EMP,EMP EZ6,38.0623,-121.8608
EMP,EMP EZ6,38.0465,-121.9107
EMP,EMP EZ6,38.0625,-121.8562
EMP,EMP EZ6,38.0634,-121.8516
EMP,EMP EZ6,38.0649,-121.8361
EMP,EMP EZ6,38.0731,-121.774
EMP,EMP EZ6,38.0862,-121.7469
EMP,EMP EZ6,38.0847,-121.738
EMP,EMP EZ6,38.0487,-121.8819
EMP,EMP EZ6,38.0653,-121.7893
EMP,EMP EZ6,38.0618,-121.7911
EMP,EMP EZ6,38.0747,-121.7692
EMP,EMP EZ6,38.0831,-121.7541
EMP,EMP EZ6,38.1216,-121.699
EMP,EMP EZ6,38.0997,-121.7218
EMP,EMP EZ6,38.1257,-121.6973
EMP,EMP EZ6,38.1126,-121.7104
EMP,EMP EZ6,38.0661,-122.0435
EMP,EMP EZ6,38.0594,-121.8672
EMP,EMP EZ6,38.064,-121.8592
EMP,EMP EZ6,38.0639,-121.8585
EMP,EMP EZ6,38.0631,-121.7933
EMP,EMP EZ6,38.0674,-121.7842
EMP,EMP EZ6,38.0711,-121.7781
EMP,EMP EZ6,38.0508,-122.09
EMP,EMP EZ6,38.0583,-122.0696
EMP,EMP EZ6,38.0529,-121.9404
EMP,EMP EZ6,38.0552,-121.9473
EMP,EMP EZ6,38.0486,-121.9034
EMP,EMP EZ6,38.0663,-121.7855
EMP,EMP EZ6,38.0523,-121.883
EMP,EMP EZ6,38.0645,-121.8354
EMP,EMP EZ6,38.066,-122.0501
EMP,EMP EZ6,38.056,-121.9537
EMP,EMP EZ6,38.0479,-121.9282
EMP,EMP EZ6,38.0594,-121.8665
EMP,EMP EZ6,38.0622,-121.8586
EMP,EMP EZ6,38.0648,-121.8327
EMP,EMP EZ6,38.07755,-121.7634
EMP,EMP EZ6,38.1241,-121.6988
EMP,EMP EZ6,38.061,-121.8028
EMP,EMP EZ6,38.0544,-121.8783
EMP,EMP EZ6,38.0501,-122.0973
EMP,EMP EZ6,38.0509,-122.0899
EMP,EMP EZ6,38.0581,-122.0735
EMP,EMP EZ6,38.0611,-122.0525
EMP,EMP EZ6,38.057992,-121.99
EMP,EMP EZ6,38.04917333,-121.9144
EMP,EMP EZ6,38.0588,-121.9733
EMP,EMP EZ6,38.04868,-121.91683
EMP,EMP EZ6,38.0651,-121.8351
EMP,EMP EZ6,38.06985,-121.78013
EMP,EMP EZ6,38.06237,-121.82613
EMP,EMP EZ6,38.059939,-121.86548
EMP,EMP EZ6,38.060229,-121.80856
EMP,EMP EZ6,38.04806,-121.90425
EMP,EMP EZ6,38.064738,-121.834588
EMP,EMP EZ6,38.06248,-121.8205
EMP,EMP EZ6,38.065545,-121.838168
EMP,EMP EZ6,38.074626,-121.770251
EMP,EMP EZ6,38.077516,-121.764583
EMP,EMP EZ6,38.061623,-121.79877
EMP,EMP EZ6,38.06419,-121.83295
EMP,EMP EZ6,38.07082,-121.77607
EMP,EMP EZ6,38.08346,-121.752523
EMP,EMP EZ6,38.075715,-121.7693
EMP,EMP EZ6,38.08646,-121.747308
EMP,EMP EZ6,38.085075,-121.752023
EMP,EMP EZ6,38.107855,-121.716201
EMP,EMP EZ6,38.06018,-121.805898
EMP,EMP EZ6-SJR,38.0284,-121.7513
EMP,EMP EZ6-SJR,38.0216,-121.8063
EMP,EMP EZ6-SJR,38.0259,-121.7809
EMP,EMP EZ6-SJR,38.0272,-121.7432
EMP,EMP EZ6-SJR,38.0284,-121.7692
EMP,EMP EZ6-SJR,38.0281,-121.7473
EMP,EMP EZ6-SJR,38.0274,-121.744
EMP,EMP EZ6-SJR,38.024,-121.7925
EMP,EMP EZ6-SJR,38.0324,-121.7241
EMP,EMP EZ6-SJR,38.0275,-121.7475
EMP,EMP EZ6-SJR,38.0303,-121.7339
EMP,EMP EZ6-SJR,38.0325,-121.7266
EMP,EMP EZ6-SJR,38.0244,-121.795
EMP,EMP EZ6-SJR,38.022,-121.8069
EMP,EMP EZ6-SJR,38.0212,-121.80683
EMP,EMP EZ6-SJR,38.02215,-121.80324
EMP,EMP EZ6-SJR,38.023836,-121.790288
EMP,EMP EZ6-SJR,38.027666,-121.771483
EMP,EMP EZ6-SJR,38.02749,-121.773295
EMP,EMP EZ6-SJR,38.021991,-121.808295
EMP,EMP EZ6-SJR,38.021786,-121.807883
EMP,EMP EZ6-SJR,38.0276,-121.747466
EMP,EMP EZ6-SJR,38.027831,-121.737378
EMP,EMP EZ6-SJR,38.027165,-121.772003
EMP,EMP EZ6-SJR,38.021758,-121.805465
EMP,EMP EZ6-SJR,38.029137,-121.73276
EMP,EMP MD10,38.04381,-121.4188
EMP,EMP MD10A,38.04226,-121.4199
EMP,EMP MD6,38.1415,-121.4687
EMP,EMP MD7,38.12513,-121.497
EMP,EMP MD7A,38.11382,-121.498
EMP,EMP NZ032,38.16991,-122.0211
EMP,EMP NZ068,38.14272,-121.6895
EMP,EMP NZS42,38.18045,-122.0476
EMP,EMP P12,37.80472,-121.45
EMP,EMP P12A,37.80284,-121.4569
EMP,EMP P8,37.97817,-121.3823
EMP,EMP S42,38.18047,-122.0469
FMWT,FMWT 073,38.27433,-121.53937
FMWT,FMWT 408,38.03513,-122.12897
FMWT,FMWT 409,38.04455,-122.10637
FMWT,FMWT 410,38.04883,-122.09647
FMWT,FMWT 411,38.06117,-122.06828
FMWT,FMWT 412,38.06462,-122.06007
FMWT,FMWT 413,38.06595,-122.0473
FMWT,FMWT 414,38.05213,-122.11128
FMWT,FMWT 415,38.05678,-122.10772
FMWT,FMWT 416,38.0702,-122.09415
FMWT,FMWT 417,38.08075,-122.083
FMWT,FMWT 418,38.09383,-122.06973
FMWT,FMWT 501,38.06167,-122.01955
FMWT,FMWT 502,38.05997,-122.00397
FMWT,FMWT 503,38.06022,-121.9832
FMWT,FMWT 504,38.05945,-121.9767
FMWT,FMWT 505,38.05713,-121.95597
FMWT,FMWT 506,38.05281,-121.944
FMWT,FMWT 507,38.05228,-121.939
FMWT,FMWT 508,38.04813,-121.91492
FMWT,FMWT 509,38.04547,-121.90412
FMWT,FMWT 510,38.04888,-121.88783
FMWT,FMWT 511,38.0513,-121.88
FMWT,FMWT 512,38.05638,-121.87722
FMWT,FMWT 513,38.0592,-121.86842
FMWT,FMWT 514,38.06389,-121.844
FMWT,FMWT 515,38.092,-122.01472
FMWT,FMWT 516,38.07867,-121.99408
FMWT,FMWT 517,38.07022,-121.97938
FMWT,FMWT 518,38.06875,-121.96802
FMWT,FMWT 519,38.07378,-121.94725
FMWT,FMWT 601,38.1031,-122.0356
FMWT,FMWT 602,38.11783,-122.04183
FMWT,FMWT 603,38.11552,-122.04805
FMWT,FMWT 604,38.12163,-122.05717
FMWT,FMWT 605,38.14853,-122.05738
FMWT,FMWT 606,38.1698,-122.02177
FMWT,FMWT 607,38.18381,-121.967
FMWT,FMWT 608,38.0887,-121.88332
FMWT,FMWT 609,38.16771,-121.9347
FMWT,FMWT 701,38.06505,-121.83475
FMWT,FMWT 702,38.06111,-121.814
FMWT,FMWT 703,38.06087,-121.79692
FMWT,FMWT 704,38.07087,-121.77892
FMWT,FMWT 705,38.07925,-121.7618
FMWT,FMWT 706,38.0903,-121.74
FMWT,FMWT 707,38.11397,-121.70797
FMWT,FMWT 708,38.12608,-121.6967
FMWT,FMWT 709,38.14787,-121.69048
FMWT,FMWT 710,38.162,-121.68228
FMWT,FMWT 711,38.17595,-121.67028
FMWT,FMWT 735,38.33343,-121.56968
FMWT,FMWT 736,38.36737,-121.5214
FMWT,FMWT 802,38.03528,-121.83875
FMWT,FMWT 804,38.02308,-121.79868
FMWT,FMWT 805,38.02683,-121.772
FMWT,FMWT 806,38.02872,-121.7617
FMWT,FMWT 807,38.02995,-121.73203
FMWT,FMWT 808,38.03337,-121.71942
FMWT,FMWT 809,38.0512,-121.69305
FMWT,FMWT 810,38.07083,-121.67622
FMWT,FMWT 811,38.09742,-121.66487
FMWT,FMWT 812,38.08792,-121.64883
FMWT,FMWT 813,38.09978,-121.62767
FMWT,FMWT 814,38.10128,-121.6022
FMWT,FMWT 815,38.0913,-121.57587
FMWT,FMWT 901,38.05669,-121.667
FMWT,FMWT 903,38.10628,-121.56747
FMWT,FMWT 904,38.07828,-121.56847
FMWT,FMWT 905,38.05953,-121.55573
FMWT,FMWT 906,38.05412,-121.51653
FMWT,FMWT 908,38.04308,-121.5298
FMWT,FMWT 909,38.02442,-121.46705
FMWT,FMWT 910,38.00228,-121.45037
FMWT,FMWT 911,37.99247,-121.40875
FMWT,FMWT 912,37.96883,-121.37172
FMWT,FMWT 915,37.949,-121.55908
FMWT,FMWT 919,38.10572,-121.49525
FMWT,FMWT 920,38.14138,-121.50475
FMWT,FMWT 923,38.13445,-121.56625
FMWT,FMWT 924,38.08914,-121.53575
FMWT,FMWT 925,38.14039,-121.47947
NCRO,NCRO Bethel Island near Piper Slough,38.033354,-121.61984
NCRO,NCRO Doughty Cut near Grantline Canal,37.814722,-121.425222
NCRO,NCRO False River near Oakley,38.055469,-121.667129
NCRO,NCRO Fisherman's Cut,38.065612,-121.647933
NCRO,NCRO Grant Line Canal East,37.82025,-121.434861
