Source,Station,Latitude,Longitude,Region,SubRegion,YearAdj,Season,Month,Date,Datetime,DissAmmonia_Sign,DissAmmonia,DissNitrateNitrite_Sign,DissNitrateNitrite,DissOrthophos_Sign,DissOrthophos
EMP,D19,38.04376,-121.6148,SouthCentral,Franks Tract,1975,Spring,5,1975-05-21,1975-05-21 15:00:00,=,NA,=,0.01,=,0.03
EMP,D22,38.08453,-121.7391,Confluence,Sacramento River near Rio Vista,1975,Spring,5,1975-05-21,1975-05-21 14:00:00,=,NA,=,0.1,=,0.04
EMP,D24,38.15778,-121.6847,Confluence,Sacramento River near Rio Vista,1975,Spring,5,1975-05-21,1975-05-21 14:00:00,=,NA,=,0.11,=,0.05
EMP,D26,38.07664,-121.5669,Confluence,San Joaquin River at Prisoners Pt,1975,Spring,5,1975-05-21,1975-05-21 16:00:00,=,NA,=,0.12,=,0.05
EMP,D4,38.06248,-121.8205,Confluence,Lower Sacramento River,1975,Spring,5,1975-05-21,1975-05-21 13:00:00,=,NA,=,0.07,=,0.04
EMP,D10,38.04631,-121.9183,Confluence,Confluence,1975,Spring,5,1975-05-22,1975-05-22 16:00:00,=,NA,=,0.04,=,0.03
EMP,D2,38.06544,-122.0545,Suisun Bay,Mid Suisun Bay,1975,Spring,5,1975-05-22,1975-05-22 15:00:00,=,NA,=,NA,=,0.04
EMP,D6,38.04436,-122.1177,Suisun Bay,West Suisun Bay,1975,Spring,5,1975-05-22,1975-05-22 14:00:00,=,NA,=,0.08,=,0.06
EMP,D7,38.11714,-122.0397,Suisun Bay,Grizzly Bay,1975,Spring,5,1975-05-22,1975-05-22 13:00:00,=,NA,=,0.1,=,0.04
EMP,D8,38.05992,-121.99,Suisun Bay,Mid Suisun Bay,1975,Spring,5,1975-05-22,1975-05-22 15:00:00,=,NA,=,0.02,=,0.04
EMP,C3,38.34575,-121.5461,North,Middle Sacramento River,1975,Summer,6,1975-06-03,1975-06-03 11:00:00,=,NA,=,0.08,=,0.05
EMP,D28A,37.97048,-121.573,SouthCentral,Old River,1975,Summer,6,1975-06-03,1975-06-03 16:00:00,=,NA,=,0.14,=,0.06
EMP,MD10,38.04381,-121.4188,SouthCentral,Disappointment Slough,1975,Summer,6,1975-06-03,1975-06-03 14:00:00,=,NA,=,0.09,=,0.09
EMP,P8,37.97817,-121.3823,SouthCentral,San Joaquin River near Stockton,1975,Summer,6,1975-06-03,1975-06-03 14:00:00,=,NA,=,0.37,=,0.14
EMP,D11,38.04229,-121.7995,Confluence,Lower Sacramento River,1975,Summer,6,1975-06-04,1975-06-04 13:00:00,=,NA,=,0.1,=,0.05
EMP,D19,38.04376,-121.6148,SouthCentral,Franks Tract,1975,Summer,6,1975-06-04,1975-06-04 15:00:00,=,NA,=,0.05,=,0.04
EMP,D22,38.08453,-121.7391,Confluence,Sacramento River near Rio Vista,1975,Summer,6,1975-06-04,1975-06-04 13:00:00,=,NA,=,0.13,=,0.05
EMP,D24,38.15778,-121.6847,Confluence,Sacramento River near Rio Vista,1975,Summer,6,1975-06-04,1975-06-04 14:00:00,=,NA,=,0.11,=,0.05
EMP,D26,38.07664,-121.5669,Confluence,San Joaquin River at Prisoners Pt,1975,Summer,6,1975-06-04,1975-06-04 15:00:00,=,NA,=,0.15,=,0.06
EMP,D4,38.06248,-121.8205,Confluence,Lower Sacramento River,1975,Summer,6,1975-06-04,1975-06-04 13:00:00,=,NA,=,0.09,=,0.05
EMP,D10,38.04631,-121.9183,Confluence,Confluence,1975,Summer,6,1975-06-05,1975-06-05 15:00:00,=,NA,=,0.05,=,0.04
EMP,D2,38.06544,-122.0545,Suisun Bay,Mid Suisun Bay,1975,Summer,6,1975-06-05,1975-06-05 14:00:00,=,NA,=,0.02,=,0.05
EMP,D6,38.04436,-122.1177,Suisun Bay,West Suisun Bay,1975,Summer,6,1975-06-05,1975-06-05 14:00:00,=,NA,=,0.09,=,0.06
EMP,D7,38.11714,-122.0397,Suisun Bay,Grizzly Bay,1975,Summer,6,1975-06-05,1975-06-05 13:00:00,=,NA,=,NA,=,0.03
EMP,D8,38.05992,-121.99,Suisun Bay,Mid Suisun Bay,1975,Summer,6,1975-06-05,1975-06-05 15:00:00,=,NA,=,0.03,=,0.06
EMP,C3,38.34575,-121.5461,North,Middle Sacramento River,1975,Summer,6,1975-06-17,1975-06-17 10:00:00,=,NA,=,0.08,=,0.06
EMP,D28A,37.97048,-121.573,SouthCentral,Old River,1975,Summer,6,1975-06-17,1975-06-17 15:00:00,=,NA,=,0.33,=,0.07
EMP,MD10,38.04381,-121.4188,SouthCentral,Disappointment Slough,1975,Summer,6,1975-06-17,1975-06-17 13:00:00,=,NA,=,0.31,=,0.1
EMP,P8,37.97817,-121.3823,SouthCentral,San Joaquin River near Stockton,1975,Summer,6,1975-06-17,1975-06-17 14:00:00,=,NA,=,0.39,=,0.1
EMP,D11,38.04229,-121.7995,Confluence,Lower Sacramento River,1975,Summer,6,1975-06-18,1975-06-18 12:00:00,=,NA,=,0.09,=,0.04
EMP,D19,38.04376,-121.6148,SouthCentral,Franks Tract,1975,Summer,6,1975-06-18,1975-06-18 14:00:00,=,NA,=,0.16,=,0.05
EMP,D22,38.08453,-121.7391,Confluence,Sacramento River near Rio Vista,1975,Summer,6,1975-06-18,1975-06-18 13:00:00,=,NA,=,0.11,=,0.04
EMP,D24,38.15778,-121.6847,Confluence,Sacramento River near Rio Vista,1975,Summer,6,1975-06-18,1975-06-18 13:00:00,=,NA,=,0.11,=,0.05
EMP,D26,38.07664,-121.5669,Confluence,San Joaquin River at Prisoners Pt,1975,Summer,6,1975-06-18,1975-06-18 14:00:00,=,NA,=,0.19,=,0.06
EMP,D4,38.06248,-121.8205,Confluence,Lower Sacramento River,1975,Summer,6,1975-06-18,1975-06-18 12:00:00,=,NA,=,0.09,=,0.04
EMP,D10,38.04631,-121.9183,Confluence,Confluence,1975,Summer,6,1975-06-19,1975-06-19 14:00:00,=,NA,=,0.06,=,0.04
EMP,D2,38.06544,-122.0545,Suisun Bay,Mid Suisun Bay,1975,Summer,6,1975-06-19,1975-06-19 13:00:00,=,NA,=,0.01,=,0.05
EMP,D6,38.04436,-122.1177,Suisun Bay,West Suisun Bay,1975,Summer,6,1975-06-19,1975-06-19 13:00:00,=,NA,=,0.05,=,0.06
EMP,D7,38.11714,-122.0397,Suisun Bay,Grizzly Bay,1975,Summer,6,1975-06-19,1975-06-19 12:00:00,=,NA,=,0.01,=,0.05
EMP,D8,38.05992,-121.99,Suisun Bay,Mid Suisun Bay,1975,Summer,6,1975-06-19,1975-06-19 14:00:00,=,NA,=,0.04,=,0.05
EMP,C3,38.34575,-121.5461,North,Middle Sacramento River,1975,Summer,7,1975-07-01,1975-07-01 10:00:00,=,NA,=,0.13,=,0.07
EMP,D28A,37.97048,-121.573,SouthCentral,Old River,1975,Summer,7,1975-07-01,1975-07-01 14:00:00,=,NA,=,0.33,=,0.07
EMP,MD10,38.04381,-121.4188,SouthCentral,Disappointment Slough,1975,Summer,7,1975-07-01,1975-07-01 12:00:00,=,NA,=,0.27,=,0.08
EMP,P8,37.97817,-121.3823,SouthCentral,San Joaquin River near Stockton,1975,Summer,7,1975-07-01,1975-07-01 13:00:00,=,NA,=,0.96,=,0.14
EMP,D11,38.04229,-121.7995,Confluence,Lower Sacramento River,1975,Summer,7,1975-07-02,1975-07-02 11:00:00,=,NA,=,0.15,=,0.05
EMP,D19,38.04376,-121.6148,SouthCentral,Franks Tract,1975,Summer,7,1975-07-02,1975-07-02 13:00:00,=,NA,=,0.24,=,0.05
EMP,D22,38.08453,-121.7391,Confluence,Sacramento River near Rio Vista,1975,Summer,7,1975-07-02,1975-07-02 12:00:00,=,NA,=,0.19,=,0.05
EMP,D24,38.15778,-121.6847,Confluence,Sacramento River near Rio Vista,1975,Summer,7,1975-07-02,1975-07-02 12:00:00,=,NA,=,0.18,=,0.06
EMP,D26,38.07664,-121.5669,Confluence,San Joaquin River at Prisoners Pt,1975,Summer,7,1975-07-02,1975-07-02 14:00:00,=,NA,=,0.26,=,0.06
EMP,D4,38.06248,-121.8205,Confluence,Lower Sacramento River,1975,Summer,7,1975-07-02,1975-07-02 11:00:00,=,NA,=,0.11,=,0.04
EMP,D10,38.04631,-121.9183,Confluence,Confluence,1975,Summer,7,1975-07-03,1975-07-03 13:00:00,=,NA,=,0.04,=,0.04
EMP,D2,38.06544,-122.0545,Suisun Bay,Mid Suisun Bay,1975,Summer,7,1975-07-03,1975-07-03 12:00:00,=,NA,=,NA,=,0.04
EMP,D6,38.04436,-122.1177,Suisun Bay,West Suisun Bay,1975,Summer,7,1975-07-03,1975-07-03 12:00:00,=,NA,=,0.03,=,0.06
